"function_name"	"title"	"usage"	"description"
"db_DSD"	"diatery supplement database before 2005"	"db_DSD(   ...,   data,   supplement_name = TRUE,   supplement_type = TRUE,   ingredient_name = TRUE,   ingredient_unit = TRUE,   ingredient_category = TRUE,   blend_flag = TRUE,   blend_component_name = TRUE,   blend_component_category = TRUE,   Year = FALSE,   join = \"left\" )"	"diatery supplement database before 2005"
"db_dsids"	"Dietary Supplement Use 24-Hour - Individual Dietary Supplements after 2007"	"db_dsids(   data,   years,   day = 1,   fun = c(\"mean\", \"sum\", \"alone\"),   both2days = TRUE,   supplement_name = FALSE,   wtdrd1 = FALSE,   wtdr2d = FALSE,   rstz = FALSE,   day_of_week = FALSE,   location_supplement_originally_recorded = FALSE,   language = FALSE,   antacid_containing_calcium.magnesium = FALSE,   matching_code = FALSE,   reported_serving_size.label_serving_size = FALSE,   energy_kcal = FALSE,   protein_g = FALSE,   carbohydrate_g = FALSE,   total_sugars_g = FALSE,   dietary_fiber_g = FALSE,   total_fat_g = FALSE,   total_saturated_fatty_acids_g = FALSE,   total_monounsaturated_fatty_acids_g = FALSE,   total_polyunsaturated_fatty_acids_g = FALSE,   cholesterol_mg = FALSE,   lycopene_mcg = FALSE,   lutein_zeaxanthin_mcg = FALSE,   thiamin_vitamin_b1_mg = FALSE,   riboflavin_vitamin_b2_mg = FALSE,   niacin_mg = FALSE,   vitamin_b6_mg = FALSE,   folic_acid_mcg = FALSE,   folate_dfe_mcg = FALSE,   total_choline_mg = FALSE,   vitamin_b12_mcg = FALSE,   vitamin_c_mg = FALSE,   vitamin_k_mcg = FALSE,   vitamin_d_d2_d3_mcg = FALSE,   calcium_mg = FALSE,   phosphorus_mg = FALSE,   magnesium_mg = FALSE,   iron_mg = FALSE,   zinc_mg = FALSE,   copper_mg = FALSE,   sodium_mg = FALSE,   potassium_mg = FALSE,   selenium_mcg = FALSE,   caffeine_mg = FALSE,   iodine_mcg = FALSE,   Year = FALSE,   join = \"left\" )"	"Dietary Supplement Use 24-Hour - Individual Dietary Supplements after 2007"
"db_dsids.30"	"Dietary Supplement Use 30 Day - Individual Dietary Supplements"	"db_dsids.30(   data,   years,   supplement_name = FALSE,   was_container_seen = FALSE,   matching_code = FALSE,   antacid_calcium_supplement_or_both = FALSE,   how_long_supplement_taken_days = FALSE,   days_supplement_taken_past_30_days = FALSE,   quantity_of_supplement_taken_daily = FALSE,   dosage_form = FALSE,   reported_serving_size.label_serving_size = FALSE,   antacid_reported_as_a_dietary_supplement = FALSE,   energy_kcal = FALSE,   carbohydrate_g = FALSE,   protein_g = FALSE,   total_sugars_g = FALSE,   dietary_fiber_g = FALSE,   total_fat_g = FALSE,   total_saturated_fatty_acids_g = FALSE,   total_monounsaturated_fatty_acids_g = FALSE,   total_polyunsaturated_fatty_acids_g = FALSE,   cholesterol_mg = FALSE,   lycopene_ug = FALSE,   lutein_zeaxanthin_ug = FALSE,   thiamin_vitamin_b1_mg = FALSE,   riboflavin_vitamin_b2_mg = FALSE,   niacin_mg = FALSE,   vitamin_b6_mg = FALSE,   folic_acid_ug = FALSE,   folate_dfe_ug = FALSE,   total_choline_mg = FALSE,   vitamin_b12_ug = FALSE,   vitamin_c_mg = FALSE,   vitamin_k_ug = FALSE,   vitamin_d_d2_d3_ug = FALSE,   calcium_mg = FALSE,   phosphorus_mg = FALSE,   magnesium_mg = FALSE,   iron_mg = FALSE,   zinc_mg = FALSE,   copper_mg = FALSE,   sodium_mg = FALSE,   potassium_mg = FALSE,   selenium_ug = FALSE,   caffeine_mg = FALSE,   iodine_ug = FALSE,   reported_product_during_day_1 = FALSE,   reported_product_during_day_2 = FALSE,   took_product_on_own_or_doctor_advised = FALSE,   for_good_bowel.colon_health = FALSE,   for_prostate_health = FALSE,   for_mental_health = FALSE,   to_prevent_health_problems = FALSE,   to_improve_my_overall_health = FALSE,   for_teeth_prevent_cavities = FALSE,   to_supplement_my_diet_food_not_enough = FALSE,   to_stay_healthy = FALSE,   to_prevent_colds_boost_immune_system = FALSE,   for_heart_health_cholesterol = FALSE,   for_eye_health = FALSE,   for_healthy_joints_arthritis = FALSE,   for_skin_health_dry_skin = FALSE,   for_weight_loss = FALSE,   for_bone_health = FALSE,   to_get_more_energy = FALSE,   for_pregnancy = FALSE,   for_anemia_such_as_low_iron = FALSE,   other_specify = FALSE,   to_maintain_blood_sugar_diabetes = FALSE,   for_healthy_hair_and_nails = FALSE,   for_kidney_and_bladder_health = FALSE,   for_respiratory_health_asthma = FALSE,   for_allergies = FALSE,   currently_breastfeeding = FALSE,   to_improve_digestion = FALSE,   for_menopause_hot_flashes = FALSE,   for_muscle_related_issues = FALSE,   to_improve_sleep = FALSE,   for_nervous_system_health = FALSE,   for_relaxation_decrease_stress = FALSE,   for_liver_health_detoxification = FALSE,   for_antioxidants = FALSE,   for_word_of_mouth_advertisement = FALSE,   for_thyroid_health_gout = FALSE,   to_build_muscle.weight_gain = FALSE,   for_low_levels_in_blood = FALSE,   for_support_after_surgery = FALSE,   for_headaches_and_dizziness = FALSE,   to_build_muscle = FALSE,   for_fluid.water_balance = FALSE,   for_inflammation = FALSE,   Year = FALSE,   join = \"left\" )"	"Dietary Supplement Use 30 Day - Individual Dietary Supplements"
"db_dstot"	"Dietary Supplement Use 24-Hour - Total Dietary Supplements after 2007"	"db_dstot(   data,   years,   day = 1,   fun = c(\"mean\", \"sum\", \"alone\"),   both2days = TRUE,   wtdrd1 = FALSE,   wtdr2d = FALSE,   rstz = FALSE,   number_of_days_of_intake = FALSE,   day_of_week = FALSE,   language = FALSE,   main_respondent_for_this_interview = FALSE,   helped_in_responding_for_this_interview = FALSE,   any_dietary_supplements_taken = FALSE,   number_of_dietary_supplements_reported = FALSE,   any_antacids_taken = FALSE,   number_of_antacids_reported = FALSE,   energy_kcal = FALSE,   protein_g = FALSE,   carbohydrate_g = FALSE,   total_sugars_g = FALSE,   dietary_fiber_g = FALSE,   total_fat_g = FALSE,   total_saturated_fatty_acids_g = FALSE,   total_monounsaturated_fatty_acids_g = FALSE,   total_polyunsaturated_fatty_acids_g = FALSE,   cholesterol_mg = FALSE,   lycopene_mcg = FALSE,   lutein_zeaxanthin_mcg = FALSE,   thiamin_vitamin_b1_mg = FALSE,   riboflavin_vitamin_b2_mg = FALSE,   niacin_mg = FALSE,   vitamin_b6_mg = FALSE,   folic_acid_mcg = FALSE,   folate_dfe_mcg = FALSE,   total_choline_mg = FALSE,   vitamin_b12_mcg = FALSE,   vitamin_c_mg = FALSE,   vitamin_k_mcg = FALSE,   vitamin_d_d2_d3_mcg = FALSE,   calcium_mg = FALSE,   phosphorus_mg = FALSE,   magnesium_mg = FALSE,   iron_mg = FALSE,   zinc_mg = FALSE,   copper_mg = FALSE,   sodium_mg = FALSE,   potassium_mg = FALSE,   selenium_mcg = FALSE,   caffeine_mg = FALSE,   number_of_days_bw_intake_and_hh_interview = FALSE,   iodine_mcg = FALSE,   Year = FALSE,   join = \"left\" )"	"Dietary Supplement Use 24-Hour - Total Dietary Supplements after 2007"
"db_dstot.30"	"Dietary Supplement Use 30-Day - Total Dietary Supplements"	"db_dstot.30(   data,   years,   any_dietary_supplements_taken = FALSE,   total_number_of_dietary_supplements_taken = FALSE,   any_antacids_taken = FALSE,   total_number_of_antacids_taken = FALSE,   energy_kcal = FALSE,   protein_g = FALSE,   carbohydrate_g = FALSE,   total_sugars_g = FALSE,   dietary_fiber_g = FALSE,   total_fat_g = FALSE,   total_saturated_fatty_acids_g = FALSE,   total_monosaturated_fatty_acids_g = FALSE,   total_polyunsaturated_fatty_acids_g = FALSE,   cholesterol_mg = FALSE,   lycopene_mcg = FALSE,   lutein_zeaxanthin_mcg = FALSE,   vitamin_b1_thiamin_mg = FALSE,   vitamin_b2_riboflavin_mg = FALSE,   niacin_mg = FALSE,   vitamin_b6_mg = FALSE,   folic_acid_mcg = FALSE,   folate_dfe_mcg = FALSE,   total_choline_mg = FALSE,   vitamin_b12_mcg = FALSE,   vitamin_c_mg = FALSE,   vitamin_k_mcg = FALSE,   vitamin_d_d2_d3_mcg = FALSE,   calcium_mg = FALSE,   phosphorus_mg = FALSE,   magnesium_mg = FALSE,   iron_mg = FALSE,   zinc_mg = FALSE,   copper_mg = FALSE,   sodium_mg = FALSE,   potassium_mg = FALSE,   selenium_mcg = FALSE,   caffeine_mg = FALSE,   iodine_mcg = FALSE,   Year = FALSE,   join = \"left\" )"	"Dietary Supplement Use 30-Day - Total Dietary Supplements"
"db_dxx"	"Dual-Energy X-ray Absorptiometry - Whole Body"	"db_dxx(   data,   years,   head_area_cm2 = FALSE,   head_bmc_g = FALSE,   head_bmd_g.cm2 = FALSE,   head_fat_g = FALSE,   head_lean_excl_bmc_g = FALSE,   head_lean_incl_bmc_g = FALSE,   head_total_g = FALSE,   head_percent_fat = FALSE,   left_arm_area_cm2 = FALSE,   left_arm_bmc_g = FALSE,   left_arm_bmd_g.cm2 = FALSE,   left_arm_fat_g = FALSE,   left_arm_lean_excl_bmc_g = FALSE,   left_arm_lean_incl_bmc_g = FALSE,   left_arm_total_g = FALSE,   left_arm_percent_fat = FALSE,   left_leg_area_cm2 = FALSE,   left_leg_bmc_g = FALSE,   left_leg_bmd_g.cm2 = FALSE,   left_leg_fat_g = FALSE,   left_leg_lean_excl_bmc_g = FALSE,   left_leg_lean_incl_bmc_g = FALSE,   left_leg_total_g = FALSE,   left_leg_percent_fat = FALSE,   right_arm_area_cm2 = FALSE,   right_arm_bmc_g = FALSE,   right_arm_bmd_g.cm2 = FALSE,   right_arm_fat_g = FALSE,   right_arm_lean_excl_bmc_g = FALSE,   right_arm_lean_incl_bmc_g = FALSE,   right_arm_total_g = FALSE,   right_arm_percent_fat = FALSE,   right_leg_area_cm2 = FALSE,   right_leg_bmc_g = FALSE,   right_leg_bmd_g.cm2 = FALSE,   right_leg_fat_g = FALSE,   right_leg_lean_excl_bmc_g = FALSE,   right_leg_lean_incl_bmc_g = FALSE,   right_leg_total_g = FALSE,   right_leg_percent_fat = FALSE,   left_ribs_area_cm2 = FALSE,   left_ribs_bmc_g = FALSE,   left_ribs_bmd_g.cm2 = FALSE,   right_ribs_area_cm2 = FALSE,   right_ribs_bmc_g = FALSE,   right_ribs_bmd_g.cm2 = FALSE,   thoracic_spine_area_cm2 = FALSE,   thoracic_spine_bmc_g = FALSE,   thoracic_spine_bmd_g.cm2 = FALSE,   lumbar_spine_area_cm2 = FALSE,   lumbar_spine_bmc_g = FALSE,   lumbar_spine_bmd_g.cm2 = FALSE,   pelvis_area_cm2 = FALSE,   pelvis_bmc_g = FALSE,   pelvis_bmd_g.cm2 = FALSE,   trunk_bone_area_cm2 = FALSE,   trunk_bmc_g = FALSE,   trunk_bone_bmd_g.cm2 = FALSE,   trunk_fat_g = FALSE,   trunk_lean_excl_bmc_g = FALSE,   trunk_lean_incl_bmc_g = FALSE,   trunk_totalg = FALSE,   trunk_percent_fat = FALSE,   subtotal_area_cm2 = FALSE,   subtotal_bmc_g = FALSE,   subtotal_bmd_g.cm2 = FALSE,   subtotal_fat_g = FALSE,   subtotal_lean_excl_bmc_g = FALSE,   subtotal_lean_incl_bmc_g = FALSE,   subtotal_total_excl_head_g = FALSE,   subtotal_percent_fat = FALSE,   total_area_cm2 = FALSE,   total_bmc_g = FALSE,   total_bmd_g.cm2 = FALSE,   total_fat_g = FALSE,   total_lean_excl_bmc_g = FALSE,   total_lean_incl_bmc_g = FALSE,   total_lean_plus_fat_g = FALSE,   total_percent_fat = FALSE,   mult.fun = c(\"mean\", \"median\", \"unique\"),   Year = FALSE,   join = \"left\" )"	"Dual-Energy X-ray Absorptiometry - Whole Body"
"db_dxxag"	"Dual-Energy X-ray Absorptiometry - Android/Gynoid Measurements"	"db_dxxag(   data,   years,   android_fat_mass = FALSE,   android_lean_mass = FALSE,   android_total_mass = FALSE,   gynoid_fat_mass = FALSE,   gynoid_lean_mass = FALSE,   gynoid_total_mass = FALSE,   android_to_gynoid_ratio = FALSE,   android_percent_fat = FALSE,   gynoid_percent_fat = FALSE,   subcutaneous_fat_area = FALSE,   subcutaneous_fat_mass = FALSE,   subcutaneous_fat_volume = FALSE,   total_abdominal_fat_area = FALSE,   total_abdominal_fat_mass = FALSE,   total_abdominal_fat_volume = FALSE,   visceral_adipose_tissue_area = FALSE,   visceral_adipose_tissue_mass = FALSE,   visceral_adipose_tissue_volume = FALSE,   Year = FALSE,   join = \"left\" )"	"Dual-Energy X-ray Absorptiometry - Android/Gynoid Measurements"
"db_dxxfem"	"Dual Energy X-ray Absorptiometry - Femur"	"db_dxxfem(   data,   years,   total_femur_area_cm2 = FALSE,   total_femur_bmc_g = FALSE,   total_femur_bmd_g.cm2 = FALSE,   femoral_neck_area_cm2 = FALSE,   femoral_neck_bmc_g = FALSE,   femoral_neck_bmd_g.cm2 = FALSE,   trochanter_area_cm2 = FALSE,   trochanter_bmc_g = FALSE,   trochanter_bmd_g.cm2 = FALSE,   intertrochanter_area_cm2 = FALSE,   intertrochanter_bmc_g = FALSE,   intertrochanter_bmd_g.cm2 = FALSE,   ward_triangle_area_cm2 = FALSE,   ward_triangle_bmc_g = FALSE,   ward_triangle_bmd_g.cm2 = FALSE,   calculated_k_for_femur = FALSE,   calculated_do_for_femur = FALSE,   Year = FALSE,   join = \"left\" )"	"Dual Energy X-ray Absorptiometry - Femur"
"db_dxxspn"	"Dual Energy X-ray Absorptiometry - Spine"	"db_dxxspn(   data,   years,   total_spine_area_cm2 = FALSE,   total_spine_bmc_g = FALSE,   total_spine_bmd_g.cm2 = FALSE,   l1_area_cm2 = FALSE,   l1_bmc_g = FALSE,   l1_bmd_g.cm2 = FALSE,   l2_area_cm2 = FALSE,   l2_bmc_g = FALSE,   l2_bmd_g.cm2 = FALSE,   l3_area_cm2 = FALSE,   l3_bmc_g = FALSE,   l3_bmd_g.cm2 = FALSE,   l4_area_cm2 = FALSE,   l4_bmc_g = FALSE,   l4_bmd_g.cm2 = FALSE,   calculated_k_for_spine = FALSE,   calculated_d0_for_spine = FALSE,   total_trabecular_bone_score = FALSE,   l1_tbs = FALSE,   l2_tbs = FALSE,   l3_tbs = FALSE,   l4_tbs = FALSE,   Year = FALSE,   join = \"left\" )"	"Dual Energy X-ray Absorptiometry - Spine"
"db_eating.occasion"	"eating occasion"	"db_eating.occasion(years, day = 1)"	"eating occasion"
"db_EVD68"	"提取EV-D68"	"db_EVD68(   data = NULL,   all = FALSE,   years,   wt_y2,   wt_y4,   d68_frm,   d68_frmq,   d68_953,   d68_953q,   d68_087,   d68_087q,   Year = F,   join = \"left\" )"	"提取EV-D68"
"db_flavonoids"	"Flavonoids"	"db_flavonoids(   data,   years,   dietary = c(\"tot\", \"iff\"),   day = 1,   fun = c(\"mean\", \"sum\", \"alone\"),   Daidzein_mg = FALSE,   Genistein_mg = FALSE,   Glycitein_mg = FALSE,   Cyanidin_mg = FALSE,   Petunidin_mg = FALSE,   Delphinidin_mg = FALSE,   Malvidin_mg = FALSE,   Pelargonidin_mg = FALSE,   Peonidin_mg = FALSE,   Catechin_mg = FALSE,   Epigallocatechin_mg = FALSE,   Epicatechin_mg = FALSE,   Epicatechin_3_gallate_mg = FALSE,   Epigallocatechin_3_gallate_mg = FALSE,   Theaflavin_mg = FALSE,   Thearubigins_mg = FALSE,   Eriodictyol_mg = FALSE,   Hesperetin_mg = FALSE,   Naringenin_mg = FALSE,   Apigenin_mg = FALSE,   Luteolin_mg = FALSE,   Isorhamnetin_mg = FALSE,   Kaempferol_mg = FALSE,   Myricetin_mg = FALSE,   Quercetin_mg = FALSE,   Theaflavin_3_3_digallate_mg = FALSE,   Theaflavin_3q_gallate_mg = FALSE,   Theaflavin_3_gallate_mg = FALSE,   Gallocatechin_mg = FALSE,   Subtotal_Catechins_mg = FALSE,   Total_Isoflavones_mg = FALSE,   Total_Anthocyanidins_mg = FALSE,   Total_Flavan_3_ols_mg = FALSE,   Total_Flavanones_mg = FALSE,   Total_Flavones_mg = FALSE,   Total_Flavonols_mg = FALSE,   Total_Sum_of_all_29_flavonoids_mg = FALSE,   both2days = TRUE,   join = \"left\",   Year = FALSE )"	"Flavonoids"
"db_flxcln"	"Fluorosis - Clinical"	"db_flxcln(   data,   years,   central_incisor = FALSE,   lateral_incisor = FALSE,   cuspid = FALSE,   bicuspid1 = FALSE,   bicuspid2 = FALSE,   molar1 = FALSE,   molar2 = FALSE,   Year = FALSE,   join = \"left\",   lower_cd = TRUE )"	"Fluorosis - Clinical"
"db_fndds"	"fndds"	"db_fndds(data, years, files, Year = FALSE, join = \"left\", nrow = Inf) fndds_MainFoodDesc(   ...,   data,   years,   start = NULL,   Year = FALSE,   abbr = TRUE,   fortify = TRUE,   wweia = TRUE,   join = \"left\" ) fndds_AddFoodDesc(..., data, years, start = NULL, Year = FALSE, join = \"left\") fndds_FoodWeights(data, years, Year = FALSE, join = \"left\") fndds_FoodSubcodeLinks(data, years, Year = FALSE, join = \"left\") fndds_SubcodeDesc(data, years, Year = FALSE, join = \"left\") fndds_FoodPortionDesc(data, years, Year = FALSE, join = \"left\") fndds_FNDDSNutVal(data, years, Year = FALSE, join = \"left\") fndds_MoistAdjust(data, years, Year = FALSE, join = \"left\") fndds_NutDesc(data, years, Year = FALSE, join = \"left\") fndds_FNDDSIngred(data, years, Year = FALSE, join = \"left\") fndds_IngredNutVal(data, years, Year = FALSE, join = \"left\") fndds_DerivDesc(data, years, Year = FALSE, join = \"left\")"	"fndds"
"db_FoodCD"	"attach USDA food code Food Code Description File"	"db_FoodCD(data, short = TRUE, long = TRUE, lower_cd = FALSE)"	"attach USDA food code Food Code Description File"
"db_fped"	"attach fped"	"db_fped(   data,   years,   day = c(\"1\", \"2\"),   dietary = c(\"tot\", \"iff\"),   version = c(\"2015\", \"2010\"),   fun = c(\"sum\", \"mean\"),   f_citmlb = FALSE,   f_other = FALSE,   f_whole = FALSE,   f_juice = FALSE,   f_total = FALSE,   v_drkgr = FALSE,   v_redor_tomato = FALSE,   v_redor_other = FALSE,   v_redor_total = FALSE,   v_starchy_potato = FALSE,   v_starchy_other = FALSE,   v_starchy_total = FALSE,   v_other = FALSE,   v_total = FALSE,   v_legumes = FALSE,   g_whole = FALSE,   g_refined = FALSE,   g_total = FALSE,   d_milk = FALSE,   d_yogurt = FALSE,   d_cheese = FALSE,   d_total = FALSE,   pf_meat = FALSE,   pf_curedmeat = FALSE,   pf_organ = FALSE,   pf_poult = FALSE,   pf_seafd_hi = FALSE,   pf_seafd_low = FALSE,   pf_mps_total = FALSE,   pf_eggs = FALSE,   pf_soy = FALSE,   pf_nutsds = FALSE,   pf_legumes = FALSE,   pf_total = FALSE,   add_sugars = FALSE,   oils = FALSE,   solid_fats = FALSE,   a_drinks = FALSE,   seaplant = FALSE,   addsugc = FALSE,   solfatc = FALSE,   vtotalleg = FALSE,   vdrkgrleg = FALSE,   pfallprotleg = FALSE,   pfseaplantleg = FALSE,   Year = F,   join = \"left\" )"	"attach fped"
"db_fped.g"	""	"db_fped.g(...)"	""
"db_fped.kcal"	""	"db_fped.kcal(...)"	""
"db_HemalBiochemistry"	"Hemal Biochemistry"	"db_HemalBiochemistry(   data,   years,   fast_glucose_mg.dl = FALSE,   fast_glucose_mmol.L = FALSE,   refrige_glucose_mg.dl = FALSE,   refrige_glucose_mmol.L = FALSE,   fast_insulin_uu.ml = FALSE,   fast_insulin_pmol.L = FALSE,   HbA1c = FALSE,   Alt = FALSE,   Ast = FALSE,   bilirubin_total_mg.dl = FALSE,   bilirubin_total_umol.L = FALSE,   alkaline_phosphatase_u.L = FALSE,   protein_total_g.dl = FALSE,   protein_total_g.L = FALSE,   albumin_g.L = FALSE,   albumin_g.dl = FALSE,   globulin_g.dl = FALSE,   globulin_g.L = FALSE,   gamma_glutamyl_transferase_13u.l_iu.l = FALSE,   creatinine_mg.dl = FALSE,   creatinine_umol.L = FALSE,   uric_acid_mg.dl = FALSE,   uric_acid_umol.L = FALSE,   blood_urea_nitrogen_mg.dl = FALSE,   blood_urea_nitrogen_mmol.L = FALSE,   sodium_mmol.L = FALSE,   phosphorus_mg.dl = FALSE,   phosphorus_mmol.L = FALSE,   calcium_total_mg.dl = FALSE,   calcium_total_mmol.L = FALSE,   calcium_albumin_corrected_mg.dl = FALSE,   calcium_albumin_corrected_mmol.L = FALSE,   potassium_mmol.L = FALSE,   iron_ug.dl = FALSE,   iron_umol.L = FALSE,   chloride_mmol.L = FALSE,   osmolality_mosm.kg = FALSE,   bicarbonate_mmol.L = FALSE,   fast_triglyceride_mg.dl = FALSE,   fast_triglyceride_mmol.L = FALSE,   refrige_triglycerides_mg.dl = FALSE,   refrige_triglycerides_mmol.L = FALSE,   fast_total_cholesterol_mg.dl = FALSE,   fast_total_cholesterol_mmol.L = FALSE,   refrige_total_cholesterol_mg.dl = FALSE,   refrige_total_cholesterol_mmol.L = FALSE,   hdl_cholesterol_mmol.L = FALSE,   hdl_cholesterol_mg.dl = FALSE,   hdl_cholesterol_direct_mg.dl = FALSE,   hdl_cholesterol_direct_mmol.L = FALSE,   ldl_cholesterol_mmol.L = FALSE,   ldl_cholesterol_mg.dl = FALSE,   creatine_phosphokinase_cpk_iu.L = FALSE,   follicle_stimulating_hormone_iu.L = FALSE,   follicle_stimulating_hormone_miu.ml = FALSE,   luteinizing_hormone_iu.L = FALSE,   luteinizing_hormone_miu.ml = FALSE,   ldh_lactate_dehydrogenase_u.L = FALSE,   C_reactive_protein_mg.dl = FALSE,   hs_C_reactive_protein_mg.L = FALSE,   Year = FALSE,   join = \"left\",   wtsaf2yr = FALSE,   wtsaf4yr = FALSE,   all = FALSE )"	"Hemal Biochemistry"
"db_hormone"	"hormone"	"db_hormone(   data,   years,   testosterone_ng.dl = FALSE,   free_testosterone_ng.dl = FALSE,   bioavailable_testosterone_ng.dl = FALSE,   sex_hormone_binding_globulin_nmol.l = FALSE,   estradiol_pg.ml = FALSE,   androstanedione_glucuronide_ng.ml = FALSE,   Year = FALSE,   join = \"left\" )"	"hormone"
"db_IgE"	"al ige"	"db_IgE(   all = FALSE,   respondent.sequence.number,   sIgE_ku.l,   sIgE_cmt,   dust.farinae_ku.l,   dust.farinae_cmt,   dust.pteronyssinus_ku.l,   dust.pteronyssin_cmt,   cat_ku.l,   cat_cmt,   dog_ku.l,   dog_cmt,   cockroach_ku.l,   cockroach_cmt,   alternaria_ku.l,   alternaria_cmt,   peanut_ku.l,   peanut_cmt,   egg_ku.l,   egg_cmt,   milk_ku.l,   milk_cmt,   ragweed_ku.l,   ragweed_cmt,   rye.grass_ku.l,   rye.grass_cmt,   bermuda.grass_ku.l,   bermuda.grass_cmt,   oak_ku.l,   oak_cmt,   birch_ku.l,   birch_cmt,   shrimp_ku.l,   shrimp_cmt,   aspergillus_ku.l,   aspergillus_cmt,   thistle_ku.l,   thistle_cmt,   mouse_ku.l,   mouse_cmt,   rat_ku.l,   rat_cmt,   join = \"left\" )"	"al ige"
"db_mango"	"Mango consumption"	"db_mango(   data,   years,   day = 1,   fun = c(\"mean\", \"alone\", \"sum\"),   both2days = TRUE,   food.code = NULL,   Year = FALSE,   join = \"left\" )"	"Mango consumption"
"db_MCD"	"attach Modification Code Description File Modification Code Description File"	"db_MCD(data, lower_cd = FALSE)"	"attach Modification Code Description File Modification Code Description File"
"db_Menopause"	"db_Menopause"	"db_Menopause(data, years, Year = FALSE, join = \"left\")"	"db_Menopause"
"db_mort"	"Add mortality data"	"db_mort(   data,   years,   varLabel = TRUE,   codebook = TRUE,   Year = FALSE,   join = \"left\" )"	"Add mortality data"
"db_muscle.strength"	"muscle strength in exam"	"db_muscle.strength(   data,   years,   grip_test_status = TRUE,   ever_had_surgery_on_hands_or_wrists = TRUE,   recent_pain_aching_stiffness_right_hand = TRUE,   recent_pain_aching_stiffness_left_hand = TRUE,   dominant_hand = FALSE,   index_finger_90_degree = FALSE,   testing_position = FALSE,   hassigned_for_practice_trial = FALSE,   begin_test_hand = FALSE,   gs_t1_h1.kg = FALSE,   gs_t1_h1_effort = FALSE,   gs_t1_h2.kg = FALSE,   gs_t1_h2_effort = FALSE,   gs_t2_h1.kg = FALSE,   gs_t2_h1_effort = FALSE,   gs_t2_h2.kg = FALSE,   gs_t2_h2_effort = FALSE,   gs_t3_h1.kg = FALSE,   gs_t3_h1_effort = FALSE,   gs_t3_h2.kg = FALSE,   gs_t3_h2_effort = FALSE,   combined_grip_strength_kg = FALSE,   Year = FALSE,   join = \"left\" )"	"muscle strength in exam"
"db_nova"	"nova超加工食物"	"db_nova(   data = NULL,   all = FALSE,   day = 1,   years,   unprocessed_minimal.grams,   ingredients.grams,   processed.grams,   ultra_processed.grams,   unprocessed_minimal.kcal,   ingredients.kcal,   processed.kcal,   ultra_processed.kcal,   Year = F,   join = \"left\" )"	"参考文献PMID: 26626606"
"db_ogtt"	"Title"	"db_ogtt(   data,   years,   ogtt_subsample_2_year_mec_weight = FALSE,   two_hour_glucose_ogtt_mg.dl = FALSE,   two_hour_glucose_ogtt_mmol.l = FALSE,   total_length_of_food_fast_hours = FALSE,   total_length_of_food_fast_minutes = FALSE,   glucose_challenge_administer_time_in_min = FALSE,   time_from_fast_glucose_challenge_min = FALSE,   time_from_fasting_glucose_ogtt_min = FALSE,   time_from_glucose_challenge_ogtt_min = FALSE,   amount_of_glucose_challenge_drank = FALSE,   incomplete_ogtt_comment_code = FALSE,   Year = FALSE,   join = \"left\" )"	"Title"
"db_ohxden"	"Oral Health - Dentition"	"db_ohxden(   data,   years,   exam_status = FALSE,   dental_implant = FALSE,   dental_restoration = FALSE,   dental_sealant = FALSE,   root_cary = FALSE,   other_root_lesion = FALSE,   root_restoration = FALSE,   other_root_restoration = FALSE,   dental_decay = FALSE,   edentulous = FALSE,   tooth_condition = FALSE,   coronal_cary_tooth = FALSE,   coronal_cary_surface = FALSE,   coronal_caries_2nd_restoration_sc = FALSE,   coronal_caries_2nd_restoration_tc = FALSE,   sealants = FALSE,   foc = FALSE,   label = FALSE,   Year = FALSE,   join = \"left\" )"	"Oral Health - Dentition"
"db_paxraw"	""	"db_paxraw(...)"	""
"db_PbCd"	"Blood PbCd start from 2005"	"db_PbCd(   data,   years,   blood_cadmium_ug.l,   blood_cadmium_umol.l,   blood_cadmium_comment_code,   blood_lead_ug.dl,   blood_lead_umol.l,   blood_lead_comment_code,   blood_mercury_total_ug.l,   blood_mercury_total_umol.l,   blood_mercury_total_comment_code,   blood_manganese_ug.l,   blood_manganese_umol.l,   blood_manganese_comment_code,   blood_selenium_ug.l,   blood_selenium_umol.l,   blood_selenium_comment_code,   weight = FALSE,   Year = FALSE,   join = \"left\" )"	"Blood PbCd start from 2005"
"db_pooltf"	""	"db_pooltf(...)"	""
"db_sandwiches"	"sandwiches consumption"	"db_sandwiches(   data,   years,   day = 1,   fun = \"mean\",   both2days = TRUE,   unit = \"gram\",   Year = FALSE,   join = \"left\" )"	"sandwiches consumption"
