"function_name"	"category"	"help_topic"	"argument"	"required"	"default"	"standard_value"	"standard_rule"	"description"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"platelet_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"wbc_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"albumin_g.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"globulin_g.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"total_protein_g.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"aniongap_mEq.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bicarbonate_mEq.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bun_mg.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"total_calcium_mg.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"chloride_mEq.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"creatinine_mg.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"glucose_mg.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"sodium_mEq.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"potassium_mEq.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"albumin_g.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"globulin_g.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"total_protein_g.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"aniongap_mEq.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bicarbonate_mEq.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bun_mg.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"total_calcium_mg.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"chloride_mEq.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"creatinine_mg.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"glucose_mg.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"sodium_mEq.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"potassium_mEq.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"basophils_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"eosinophils_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"lymphocytes_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"monocytes_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"neutrophils_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"atypical_lymphocytes_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bands_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"immature_granulocytes_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"metamyelocytes_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"nrbc_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"basophils_abs_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"eosinophils_abs_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"lymphocytes_abs_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"monocytes_abs_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"neutrophils_abs_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"atypical_lymphocytes_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bands_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"immature_granulocytes_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"metamyelocytes_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"nrbc_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"D_dimer_ng.mL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"fibrinogen_mg.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"thrombin_sec_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"INR_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"pt_sec_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ptt_sec_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"D_dimer_ng.mL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"fibrinogen_mg.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"thrombin_sec_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"INR_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"pt_sec_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ptt_sec_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"alt_IU.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"alp_IU.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ast_IU.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"amylase_IU.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bilirubin_total_mg.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bilirubin_direct_mg.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bilirubin_indirect_mg.dL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ck_cpk_IU.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ck_mb_ng.mL_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ggt_IU.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ld_ldh_IU.L_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"alt_IU.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"alp_IU.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ast_IU.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"amylase_IU.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bilirubin_total_mg.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bilirubin_direct_mg.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"bilirubin_indirect_mg.dL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ck_cpk_IU.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ck_mb_ng.mL_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ggt_IU.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lab_icu"	"day_summary"	"d1_lab_icu"	"ld_ldh_IU.L_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"lods"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"neurologic"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"cardiovascular"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"renal"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"pulmonary"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"hematologic"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_lods_icu"	"day_summary"	"d1_lods_icu"	"hepatic"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"meld_initial"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"meld"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"rrt"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"creatinine_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"bilirubin_total_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"inr_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"sodium_min"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"subject_id"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_meld_icu"	"day_summary"	"d1_meld_icu"	"hadm_id"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_milrinone.input_icu.t"	"day_summary"	"d1_milrinone.input_icu.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_milrinone.input_icu.t"	"day_summary"	"d1_milrinone.input_icu.t"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_milrinone.input_icu.t"	"day_summary"	"d1_milrinone.input_icu.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_milrinone.input_icu.t"	"day_summary"	"d1_milrinone.input_icu.t"	"endtime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_milrinone.input_icu.t"	"day_summary"	"d1_milrinone.input_icu.t"	"vaso_amount"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_milrinone.input_icu.t"	"day_summary"	"d1_milrinone.input_icu.t"	"vaso_rate"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_milrinone.input_icu.t"	"day_summary"	"d1_milrinone.input_icu.t"	"linkorderid"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_milrinone.input_icu.t"	"day_summary"	"d1_milrinone.input_icu.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_neuroblock.input_icu.t"	"day_summary"	"d1_neuroblock.input_icu.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_neuroblock.input_icu.t"	"day_summary"	"d1_neuroblock.input_icu.t"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_neuroblock.input_icu.t"	"day_summary"	"d1_neuroblock.input_icu.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_neuroblock.input_icu.t"	"day_summary"	"d1_neuroblock.input_icu.t"	"endtime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_neuroblock.input_icu.t"	"day_summary"	"d1_neuroblock.input_icu.t"	"drug_amount"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_neuroblock.input_icu.t"	"day_summary"	"d1_neuroblock.input_icu.t"	"drug_rate"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_neuroblock.input_icu.t"	"day_summary"	"d1_neuroblock.input_icu.t"	"orderid"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_neuroblock.input_icu.t"	"day_summary"	"d1_neuroblock.input_icu.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_norepinephrine.equivalent.dose.input_icu.t"	"day_summary"	"d1_norepinephrine.equivalent.dose.input_icu.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_norepinephrine.equivalent.dose.input_icu.t"	"day_summary"	"d1_norepinephrine.equivalent.dose.input_icu.t"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_norepinephrine.equivalent.dose.input_icu.t"	"day_summary"	"d1_norepinephrine.equivalent.dose.input_icu.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_norepinephrine.equivalent.dose.input_icu.t"	"day_summary"	"d1_norepinephrine.equivalent.dose.input_icu.t"	"endtime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_norepinephrine.equivalent.dose.input_icu.t"	"day_summary"	"d1_norepinephrine.equivalent.dose.input_icu.t"	"norepinephrine_equivalent_dose"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_norepinephrine.equivalent.dose.input_icu.t"	"day_summary"	"d1_norepinephrine.equivalent.dose.input_icu.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_norepinephrine.input_icu.t"	"day_summary"	"d1_norepinephrine.input_icu.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_norepinephrine.input_icu.t"	"day_summary"	"d1_norepinephrine.input_icu.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_norepinephrine.input_icu.t"	"day_summary"	"d1_norepinephrine.input_icu.t"	"endtime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_norepinephrine.input_icu.t"	"day_summary"	"d1_norepinephrine.input_icu.t"	"vaso_amount"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_norepinephrine.input_icu.t"	"day_summary"	"d1_norepinephrine.input_icu.t"	"vaso_rate"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_norepinephrine.input_icu.t"	"day_summary"	"d1_norepinephrine.input_icu.t"	"linkorderid"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_norepinephrine.input_icu.t"	"day_summary"	"d1_norepinephrine.input_icu.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_nsaid.pre_hadm.t"	"day_summary"	"d1_nsaid.pre_hadm.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_nsaid.pre_hadm.t"	"day_summary"	"d1_nsaid.pre_hadm.t"	"subject_id"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_nsaid.pre_hadm.t"	"day_summary"	"d1_nsaid.pre_hadm.t"	"hadm_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_nsaid.pre_hadm.t"	"day_summary"	"d1_nsaid.pre_hadm.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_nsaid.pre_hadm.t"	"day_summary"	"d1_nsaid.pre_hadm.t"	"stoptime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_nsaid.pre_hadm.t"	"day_summary"	"d1_nsaid.pre_hadm.t"	"nsaid"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_nsaid.pre_hadm.t"	"day_summary"	"d1_nsaid.pre_hadm.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"T"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"oasis"	FALSE	"T"	"T"	"Preserve the package default."	"T"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"oasis_prob"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"age"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"age_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"preiculos"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"preiculos_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"gcs"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"gcs_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"heartrate"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"heart_rate_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"meanbp"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"mbp_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"resprate"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"resp_rate_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"temp"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"temp_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"urineoutput"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"urineoutput_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"mechvent"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"mechvent_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"electivesurgery"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_oasis_icu"	"day_summary"	"d1_oasis_icu"	"electivesurgery_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_phenylephrine.input_icu.t"	"day_summary"	"d1_phenylephrine.input_icu.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_phenylephrine.input_icu.t"	"day_summary"	"d1_phenylephrine.input_icu.t"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_phenylephrine.input_icu.t"	"day_summary"	"d1_phenylephrine.input_icu.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_phenylephrine.input_icu.t"	"day_summary"	"d1_phenylephrine.input_icu.t"	"endtime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_phenylephrine.input_icu.t"	"day_summary"	"d1_phenylephrine.input_icu.t"	"vaso_amount"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_phenylephrine.input_icu.t"	"day_summary"	"d1_phenylephrine.input_icu.t"	"vaso_rate"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
