"function_name"	"object_type"	"category"	"help_topic"	"title"	"usage"	"description"	"standard_call"
"d1_lab_icu"	"function"	"day_summary"	"d1_lab_icu"	"住入icu第一天的实验室检查"	"d1_lab_icu( all = FALSE, stay_id = T, hematocrit_max, hemoglobin_g.dL_max, platelet_max, wbc_max, hematocrit_min, hemoglobin_g.dL_min, platelet_min, wbc_min, albumin_g.dL_max, globulin_g.dL_max, total_protein_g.dL_max, aniongap_mEq.L_max, bicarbonate_mEq.L_max, bun_mg.dL_max, total_calcium_mg.dL_max, chloride_mEq.L_max, creatinine_mg.dL_max, glucose_mg.dL_max, sodium_mEq.L_max, potassium_mEq.L_max, albumin_g.dL_min, globulin_g.dL_min, total_protein_g.dL_min, aniongap_mEq.L_min, bicarbonate_mEq.L_min, bun_mg.dL_min, total_calcium_mg.dL_min, chloride_mEq.L_min, creatinine_mg.dL_min, glucose_mg.dL_min, sodium_mEq.L_min, potassium_mEq.L_min, basophils_abs_max, eosinophils_abs_max, lymphocytes_abs_max, monocytes_abs_max, neutrophils_abs_max, atypical_lymphocytes_max, bands_max, immature_granulocytes_max, metamyelocytes_max, nrbc_max, basophils_abs_min, eosinophils_abs_min, lymphocytes_abs_min, monocytes_abs_min, neutrophils_abs_min, atypical_lymphocytes_min, bands_min, immature_granulocytes_min, metamyelocytes_min, nrbc_min, D_dimer_ng.mL_max, fibrinogen_mg.dL_max, thrombin_sec_max, INR_max, pt_sec_max, ptt_sec_max, D_dimer_ng.mL_min, fibrinogen_mg.dL_min, thrombin_sec_min, INR_min, pt_sec_min, ptt_sec_min, alt_IU.L_max, alp_IU.L_max, ast_IU.L_max, amylase_IU.L_max, bilirubin_total_mg.dL_max, bilirubin_direct_mg.dL_max, bilirubin_indirect_mg.dL_max, ck_cpk_IU.L_max, ck_mb_ng.mL_max, ggt_IU.L_max, ld_ldh_IU.L_max, alt_IU.L_min, alp_IU.L_min, ast_IU.L_min, amylase_IU.L_min, bilirubin_total_mg.dL_min, bilirubin_direct_mg.dL_min, bilirubin_indirect_mg.dL_min, ck_cpk_IU.L_min, ck_mb_ng.mL_min, ggt_IU.L_min, ld_ldh_IU.L_min )"	"住入icu第一天的实验室检查"	"d1_lab_icu(all = FALSE, stay_id = T, hematocrit_max = FALSE, hemoglobin_g.dL_max = FALSE, platelet_max = FALSE, wbc_max = FALSE, hematocrit_min = FALSE, hemoglobin_g.dL_min = FALSE, platelet_min = FALSE, wbc_min = FALSE, albumin_g.dL_max = FALSE, globulin_g.dL_max = FALSE, total_protein_g.dL_max = FALSE, aniongap_mEq.L_max = FALSE, bicarbonate_mEq.L_max = FALSE, bun_mg.dL_max = FALSE, total_calcium_mg.dL_max = FALSE, chloride_mEq.L_max = FALSE, creatinine_mg.dL_max = FALSE, glucose_mg.dL_max = FALSE, sodium_mEq.L_max = FALSE, potassium_mEq.L_max = FALSE, albumin_g.dL_min = FALSE, globulin_g.dL_min = FALSE, total_protein_g.dL_min = FALSE, aniongap_mEq.L_min = FALSE, bicarbonate_mEq.L_min = FALSE, bun_mg.dL_min = FALSE, total_calcium_mg.dL_min = FALSE, chloride_mEq.L_min = FALSE, creatinine_mg.dL_min = FALSE, glucose_mg.dL_min = FALSE, sodium_mEq.L_min = FALSE, potassium_mEq.L_min = FALSE, basophils_abs_max = FALSE, eosinophils_abs_max = FALSE, lymphocytes_abs_max = FALSE, monocytes_abs_max = FALSE, neutrophils_abs_max = FALSE, atypical_lymphocytes_max = FALSE, bands_max = FALSE, immature_granulocytes_max = FALSE, metamyelocytes_max = FALSE, nrbc_max = FALSE, basophils_abs_min = FALSE, eosinophils_abs_min = FALSE, lymphocytes_abs_min = FALSE, monocytes_abs_min = FALSE, neutrophils_abs_min = FALSE, atypical_lymphocytes_min = FALSE, bands_min = FALSE, immature_granulocytes_min = FALSE, metamyelocytes_min = FALSE, nrbc_min = FALSE, D_dimer_ng.mL_max = FALSE, fibrinogen_mg.dL_max = FALSE, thrombin_sec_max = FALSE, INR_max = FALSE, pt_sec_max = FALSE, ptt_sec_max = FALSE, D_dimer_ng.mL_min = FALSE, fibrinogen_mg.dL_min = FALSE, thrombin_sec_min = FALSE, INR_min = FALSE, pt_sec_min = FALSE, ptt_sec_min = FALSE, alt_IU.L_max = FALSE, alp_IU.L_max = FALSE, ast_IU.L_max = FALSE, amylase_IU.L_max = FALSE, bilirubin_total_mg.dL_max = FALSE, bilirubin_direct_mg.dL_max = FALSE, bilirubin_indirect_mg.dL_max = FALSE, ck_cpk_IU.L_max = FALSE, ck_mb_ng.mL_max = FALSE, ggt_IU.L_max = FALSE, ld_ldh_IU.L_max = FALSE, alt_IU.L_min = FALSE, alp_IU.L_min = FALSE, ast_IU.L_min = FALSE, amylase_IU.L_min = FALSE, bilirubin_total_mg.dL_min = FALSE, bilirubin_direct_mg.dL_min = FALSE, bilirubin_indirect_mg.dL_min = FALSE, ck_cpk_IU.L_min = FALSE, ck_mb_ng.mL_min = FALSE, ggt_IU.L_min = FALSE, ld_ldh_IU.L_min = FALSE)"
"d1_lods_icu"	"function"	"day_summary"	"d1_lods_icu"	"d1_lods_icu"	"d1_lods_icu( all = FALSE, stay_id = T, lods, neurologic, cardiovascular, renal, pulmonary, hematologic, hepatic )"	"d1_lods_icu"	"d1_lods_icu(all = FALSE, stay_id = T, lods = FALSE, neurologic = FALSE, cardiovascular = FALSE, renal = FALSE, pulmonary = FALSE, hematologic = FALSE, hepatic = FALSE)"
"d1_meld_icu"	"function"	"day_summary"	"d1_meld_icu"	"d1_meld_icu"	"d1_meld_icu( all = FALSE, stay_id = T, meld_initial, meld, rrt, creatinine_max, bilirubin_total_max, inr_max, sodium_min, subject_id = F, hadm_id = F )"	"d1_meld_icu"	"d1_meld_icu(all = FALSE, stay_id = T, meld_initial = FALSE, meld = FALSE, rrt = FALSE, creatinine_max = FALSE, bilirubin_total_max = FALSE, inr_max = FALSE, sodium_min = FALSE, subject_id = F, hadm_id = F)"
"d1_milrinone.input_icu.t"	"function"	"day_summary"	"d1_milrinone.input_icu.t"	"米力农（入院第1天开始使用）"	"d1_milrinone.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"米力农（入院第1天开始使用）"	"d1_milrinone.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = FALSE, linkorderid = FALSE, drugYesNo = F)"
"d1_neuroblock.input_icu.t"	"function"	"day_summary"	"d1_neuroblock.input_icu.t"	"神经阻滞剂（入院第1天开始使用）"	"d1_neuroblock.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, drug_amount, drug_rate, orderid, drugYesNo = F )"	"神经阻滞剂（入院第1天开始使用）"	"d1_neuroblock.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, drug_amount = FALSE, drug_rate = FALSE, orderid = FALSE, drugYesNo = F)"
"d1_norepinephrine.equivalent.dose.input_icu.t"	"function"	"day_summary"	"d1_norepinephrine.equivalent.dose.input_icu.t"	"去甲肾上腺素当量剂量（入院第1天开始使用）"	"d1_norepinephrine.equivalent.dose.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, norepinephrine_equivalent_dose, drugYesNo = F )"	"去甲肾上腺素当量剂量（入院第1天开始使用）"	"d1_norepinephrine.equivalent.dose.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, norepinephrine_equivalent_dose = FALSE, drugYesNo = F)"
"d1_norepinephrine.input_icu.t"	"function"	"day_summary"	"d1_norepinephrine.input_icu.t"	"去甲肾上腺素（入院第1天开始使用）"	"d1_norepinephrine.input_icu.t( all = FALSE, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"去甲肾上腺素（入院第1天开始使用）"	"d1_norepinephrine.input_icu.t(all = FALSE, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = FALSE, linkorderid = FALSE, drugYesNo = F)"
"d1_nsaid.pre_hadm.t"	"function"	"day_summary"	"d1_nsaid.pre_hadm.t"	"nsaid（入院第1天开始使用）"	"d1_nsaid.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, starttime, stoptime, nsaid, drugYesNo = F )"	"nsaid（入院第1天开始使用）"	"d1_nsaid.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, starttime = FALSE, stoptime = FALSE, nsaid = FALSE, drugYesNo = F)"
"d1_oasis_icu"	"function"	"day_summary"	"d1_oasis_icu"	"d1_oasis_icu"	"d1_oasis_icu( all = FALSE, stay_id = T, oasis = T, oasis_prob, age, age_score, preiculos, preiculos_score, gcs, gcs_score, heartrate, heart_rate_score, meanbp, mbp_score, resprate, resp_rate_score, temp, temp_score, urineoutput, urineoutput_score, mechvent, mechvent_score, electivesurgery, electivesurgery_score )"	"d1_oasis_icu"	"d1_oasis_icu(all = FALSE, stay_id = T, oasis = T, oasis_prob = FALSE, age = FALSE, age_score = FALSE, preiculos = FALSE, preiculos_score = FALSE, gcs = FALSE, gcs_score = FALSE, heartrate = FALSE, heart_rate_score = FALSE, meanbp = FALSE, mbp_score = FALSE, resprate = FALSE, resp_rate_score = FALSE, temp = FALSE, temp_score = FALSE, urineoutput = FALSE, urineoutput_score = FALSE, mechvent = FALSE, mechvent_score = FALSE, electivesurgery = FALSE, electivesurgery_score = FALSE)"
"d1_phenylephrine.input_icu.t"	"function"	"day_summary"	"d1_phenylephrine.input_icu.t"	"苯肾上腺素（入院第1天开始使用）"	"d1_phenylephrine.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"苯肾上腺素（入院第1天开始使用）"	"d1_phenylephrine.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = FALSE, linkorderid = FALSE, drugYesNo = F)"
"d1_rrt_icu"	"function"	"day_summary"	"d1_rrt_icu"	"d1_rrt_icu"	"d1_rrt_icu( all = FALSE, stay_id = T, dialysis_yn, dialysis_present, dialysis_active, dialysis_type2 )"	"d1_rrt_icu"	"d1_rrt_icu(all = FALSE, stay_id = T, dialysis_yn = NULL, dialysis_present = FALSE, dialysis_active = FALSE, dialysis_type2 = FALSE)"
"d1_saps2_icu"	"function"	"day_summary"	"d1_saps2_icu"	"d1_saps2_icu"	"d1_saps2_icu( all = FALSE, stay_id = T, starttime, endtime, sapsii = T, sapsii_prob, age_score, hr_score, sysbp_score, temp_score, pao2fio2_score, uo_score, bun_score, wbc_score, potassium_score, sodium_score, bicarbonate_score, bilirubin_score, gcs_score, comorbidity_score, admissiontype_score, subject_id = F, hadm_id = F )"	"d1_saps2_icu"	"d1_saps2_icu(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, sapsii = T, sapsii_prob = FALSE, age_score = FALSE, hr_score = FALSE, sysbp_score = FALSE, temp_score = FALSE, pao2fio2_score = FALSE, uo_score = FALSE, bun_score = FALSE, wbc_score = FALSE, potassium_score = FALSE, sodium_score = FALSE, bicarbonate_score = FALSE, bilirubin_score = FALSE, gcs_score = FALSE, comorbidity_score = FALSE, admissiontype_score = FALSE, subject_id = F, hadm_id = F)"
"d1_sirs_icu"	"function"	"day_summary"	"d1_sirs_icu"	"Systemic inflammatory response syndrome"	"d1_sirs_icu( all = FALSE, stay_id = T, sirs = T, temp_score, heart_rate_score, resp_score, wbc_score )"	"Systemic inflammatory response syndrome"	"d1_sirs_icu(all = FALSE, stay_id = T, sirs = T, temp_score = FALSE, heart_rate_score = FALSE, resp_score = FALSE, wbc_score = FALSE)"
"d1_sofa_icu"	"function"	"day_summary"	"d1_sofa_icu"	"d1_sofa_icu"	"d1_sofa_icu( all = FALSE, stay_id = T, sofa = T, respiration, coagulation, liver, cardiovascular, cns, renal, subject_id = F, hadm_id = F )"	"d1_sofa_icu"	"d1_sofa_icu(all = FALSE, stay_id = T, sofa = T, respiration = FALSE, coagulation = FALSE, liver = FALSE, cardiovascular = FALSE, cns = FALSE, renal = FALSE, subject_id = F, hadm_id = F)"
"d1_TyG_icu"	"function"	"day_summary"	"d1_TyG_icu"	"d1_TyG_icu"	"d1_TyG_icu(all = FALSE, stay_id = T, TyG_max, TyG_min)"	"参考文献pmid: 19067533"	"d1_TyG_icu(all = FALSE, stay_id = T, TyG_max = FALSE, TyG_min = FALSE)"
"d1_urineoutput_icu"	"function"	"day_summary"	"d1_urineoutput_icu"	"d1_urineoutput_icu"	"d1_urineoutput_icu(all = FALSE, stay_id = T, urineoutput = \"Urine_output\")"	"d1_urineoutput_icu"	"d1_urineoutput_icu(all = FALSE, stay_id = T, urineoutput = \"Urine_output\")"
"d1_vasoactive.agent.input_icu.t"	"function"	"day_summary"	"d1_vasoactive.agent.input_icu.t"	"血管活性药（入院第1天开始使用）"	"d1_vasoactive.agent.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, dopamine, epinephrine, norepinephrine, phenylephrine, vasopressin, dobutamine, milrinone, drugYesNo = F )"	"血管活性药（入院第1天开始使用）"	"d1_vasoactive.agent.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, dopamine = FALSE, epinephrine = FALSE, norepinephrine = FALSE, phenylephrine = FALSE, vasopressin = FALSE, dobutamine = FALSE, milrinone = FALSE, drugYesNo = F)"
"d1_vasopressin.input_icu.t"	"function"	"day_summary"	"d1_vasopressin.input_icu.t"	"加压素(入院第一天开始使用)"	"d1_vasopressin.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"加压素(入院第一天开始使用)"	"d1_vasopressin.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = FALSE, linkorderid = FALSE, drugYesNo = F)"
"d1_VitalSign_icu"	"function"	"day_summary"	"d1_VitalSign_icu"	"住入icu第一天的生命体征"	"d1_VitalSign_icu( all = FALSE, stay_id = T, heart_rate_mean, sbp_mean, dbp_mean, mbp_mean, resp_rate_mean, temperature_mean, spo2_mean, glucose_mean, heart_rate_max, sbp_max, dbp_max, mbp_max, resp_rate_max, temperature_max, spo2_max, glucose_max, heart_rate_min, sbp_min, dbp_min, mbp_min, resp_rate_min, temperature_min, spo2_min, glucose_min )"	"住入icu第一天的生命体征"	"d1_VitalSign_icu(all = FALSE, stay_id = T, heart_rate_mean = FALSE, sbp_mean = FALSE, dbp_mean = FALSE, mbp_mean = FALSE, resp_rate_mean = FALSE, temperature_mean = FALSE, spo2_mean = FALSE, glucose_mean = FALSE, heart_rate_max = FALSE, sbp_max = FALSE, dbp_max = FALSE, mbp_max = FALSE, resp_rate_max = FALSE, temperature_max = FALSE, spo2_max = FALSE, glucose_max = FALSE, heart_rate_min = FALSE, sbp_min = FALSE, dbp_min = FALSE, mbp_min = FALSE, resp_rate_min = FALSE, temperature_min = FALSE, spo2_min = FALSE, glucose_min = FALSE)"
"d1_weight_icu"	"function"	"day_summary"	"d1_weight_icu"	"住入icu第1天的体重kg"	"d1_weight_icu( all = FALSE, stay_id = T, weight, weight_admit, weight_max, weight_min )"	"住入icu第1天的体重kg"	"d1_weight_icu(all = FALSE, stay_id = T, weight = FALSE, weight_admit = FALSE, weight_max = FALSE, weight_min = FALSE)"
"day1_icu"	"function"	"day_summary"	"day1_icu"	"住入icu第1天"	"day1_icu(d, timevar = NULL, prehour = 6, print = T, dup_max = F, dup_min = F)"	"住入icu第1天"	"day1_icu(d = NULL, timevar = NULL, prehour = 6, print = T, dup_max = F, dup_min = F)"
"day2_icu"	"function"	"day_summary"	"day2_icu"	"住入icu第2天"	"day2_icu(d, timevar = NULL, print = T, dup_max = F, dup_min = F)"	"住入icu第2天"	"day2_icu(d = NULL, timevar = NULL, print = T, dup_max = F, dup_min = F)"
"day3_icu"	"function"	"day_summary"	"day3_icu"	"住入icu第3天"	"day3_icu(d, timevar = NULL, print = T, dup_max = F, dup_min = F)"	"住入icu第3天"	"day3_icu(d = NULL, timevar = NULL, print = T, dup_max = F, dup_min = F)"
"day4_icu"	"function"	"day_summary"	"day4_icu"	"住入icu第4天"	"day4_icu(d, timevar = NULL, print = T, dup_max = F, dup_min = F)"	"住入icu第4天"	"day4_icu(d = NULL, timevar = NULL, print = T, dup_max = F, dup_min = F)"
"day5_icu"	"function"	"day_summary"	"day5_icu"	"住入icu第5天"	"day5_icu(d, timevar = NULL, print = T, dup_max = F, dup_min = F)"	"住入icu第5天"	"day5_icu(d = NULL, timevar = NULL, print = T, dup_max = F, dup_min = F)"
"day6_icu"	"function"	"day_summary"	"day6_icu"	"住入icu第6天"	"day6_icu(d, timevar = NULL, print = T, dup_max = F, dup_min = F)"	"住入icu第6天"	"day6_icu(d = NULL, timevar = NULL, print = T, dup_max = F, dup_min = F)"
"day7_icu"	"function"	"day_summary"	"day7_icu"	"住入icu第7天"	"day7_icu(d, timevar = NULL, print = T, dup_max = F, dup_min = F)"	"住入icu第7天"	"day7_icu(d = NULL, timevar = NULL, print = T, dup_max = F, dup_min = F)"
"dayn_icu"	"function"	"day_summary"	"dayn_icu"	"住入icu的第n天"	"dayn_icu( d, timevar = NULL, n = 2, prehour = 6, print = T, dup_max = F, dup_min = F )"	"住入icu的第n天"	"dayn_icu(d = NULL, timevar = NULL, n = 2, prehour = 6, print = T, dup_max = F, dup_min = F)"
"db_admissions"	"function"	"raw_extract"	"db_admissions"	"admissions"	"db_admissions( all = FALSE, subject_id, hadm_id, admission_location, admittime, admission_type, admit_provider_id, hospital_expire_flag, deathtime, dischtime, discharge_location, insurance, language, marital_status, race, edregtime, edouttime )"	"admissions"	"db_admissions(all = FALSE, subject_id = FALSE, hadm_id = FALSE, admission_location = FALSE, admittime = FALSE, admission_type = FALSE, admit_provider_id = NULL, hospital_expire_flag = FALSE, deathtime = FALSE, dischtime = FALSE, discharge_location = FALSE, insurance = FALSE, language = FALSE, marital_status = FALSE, race = FALSE, edregtime = FALSE, edouttime = FALSE)"
"db_chart.events_D.icu.t"	"function"	"raw_extract"	"db_chart.events_D.icu.t"	"chartevents"	"db_chart.events_D.icu.t( ..., id = NULL, all = FALSE, subject_id, hadm_id, stay_id = T, charttime, storetime, itemid, value, valuenum, valueuom, warning, view = T )"	"chartevents"	"db_chart.events_D.icu.t(id = NULL, all = FALSE, subject_id = FALSE, hadm_id = FALSE, stay_id = T, charttime = FALSE, storetime = FALSE, itemid = FALSE, value = FALSE, valuenum = FALSE, valueuom = FALSE, warning = FALSE, view = T)"
"db_datetime.events_D.icu.t"	"function"	"raw_extract"	"db_datetime.events_D.icu.t"	"datetimeevents"	"db_datetime.events_D.icu.t( ..., all = FALSE, subject_id, hadm_id, stay_id = T, charttime, storetime, itemid, value, valueuom, warning, view = T )"	"datetimeevents"	"db_datetime.events_D.icu.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, stay_id = T, charttime = FALSE, storetime = FALSE, itemid = FALSE, value = FALSE, valueuom = FALSE, warning = FALSE, view = T)"
"db_diagnoses_d.hadm"	"function"	"raw_extract"	"db_diagnoses_d.hadm"	"提取诊断数据"	"db_diagnoses_d.hadm( ..., icd9_start = NULL, icd10_start = NULL, icd9_between = NULL, icd10_between = NULL, xlsx = NULL, Newname = NULL, all = FALSE, subject_id, hadm_id, long_title, code_yn, code_10, drop_no = F, view = T, file = NULL )"	"提取诊断数据"	"db_diagnoses_d.hadm(icd9_start = NULL, icd10_start = NULL, icd9_between = NULL, icd10_between = NULL, xlsx = NULL, Newname = NULL, all = FALSE, subject_id = FALSE, hadm_id = FALSE, long_title = FALSE, code_yn = FALSE, code_10 = FALSE, drop_no = F, view = T, file = NULL)"
"db_DRG_d.hadm"	"function"	"raw_extract"	"db_DRG_d.hadm"	"drgcodes"	"db_DRG_d.hadm( dictionary = NULL, all = FALSE, subject_id, hadm_id, drg_type, drg_code, description, drg_severity, drg_mortality )"	"drgcodes"	"db_DRG_d.hadm(dictionary = NULL, all = FALSE, subject_id = FALSE, hadm_id = FALSE, drg_type = FALSE, drg_code = FALSE, description = FALSE, drg_severity = FALSE, drg_mortality = FALSE)"
"db_eMAR_D.hadm.t"	"function"	"raw_extract"	"db_eMAR_D.hadm.t"	"emar"	"db_eMAR_D.hadm.t( ..., all = FALSE, subject_id, hadm_id, emar_id, emar_seq, poe_id, pharmacy_id, charttime, medication, CN, event_txt, scheduletime, storetime, view = T )"	"emar"	"db_eMAR_D.hadm.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, emar_id = FALSE, emar_seq = FALSE, poe_id = FALSE, pharmacy_id = FALSE, charttime = FALSE, medication = FALSE, CN = NULL, event_txt = FALSE, scheduletime = FALSE, storetime = FALSE, view = T)"
"db_eMAR_detail"	"function"	"raw_extract"	"db_eMAR_detail"	"emar_detail"	"db_eMAR_detail( data, all = FALSE, subject_id, emar_id, emar_seq, parent_field_ordinal, administration_type, pharmacy_id, barcode_type, reason_for_no_barcode, complete_dose_not_given, dose_due, dose_due_unit, dose_given, dose_given_unit, will_remainder_of_dose_be_given, product_amount_given, product_unit, product_code, product_description, product_description_other, prior_infusion_rate, infusion_rate, infusion_rate_adjustment, infusion_rate_adjustment_amount, infusion_rate_unit, route, infusion_complete, completion_interval, new_iv_bag_hung, continued_infusion_in_other_location, restart_interval, side, site, non_formulary_visual_verification, join = \"left\" )"	"emar_detail"	"db_eMAR_detail(data = cohort_dat, all = FALSE, subject_id = FALSE, emar_id = FALSE, emar_seq = FALSE, parent_field_ordinal = FALSE, administration_type = FALSE, pharmacy_id = FALSE, barcode_type = FALSE, reason_for_no_barcode = FALSE, complete_dose_not_given = FALSE, dose_due = FALSE, dose_due_unit = FALSE, dose_given = FALSE, dose_given_unit = FALSE, will_remainder_of_dose_be_given = FALSE, product_amount_given = FALSE, product_unit = FALSE, product_code = FALSE, product_description = FALSE, product_description_other = FALSE, prior_infusion_rate = FALSE, infusion_rate = FALSE, infusion_rate_adjustment = FALSE, infusion_rate_adjustment_amount = FALSE, infusion_rate_unit = FALSE, route = FALSE, infusion_complete = FALSE, completion_interval = FALSE, new_iv_bag_hung = FALSE, continued_infusion_in_other_location = FALSE, restart_interval = FALSE, side = FALSE, site = FALSE, non_formulary_visual_verification = FALSE, join = \"left\")"
"db_hcpcs_d.hadm"	"function"	"raw_extract"	"db_hcpcs_d.hadm"	"hcpcsevents"	"db_hcpcs_d.hadm( ..., all = FALSE, subject_id, hadm_id, chartdate, hcpcs_cd, seq_num, short_description, view = T )"	"hcpcsevents"	"db_hcpcs_d.hadm(all = FALSE, subject_id = FALSE, hadm_id = FALSE, chartdate = FALSE, hcpcs_cd = FALSE, seq_num = FALSE, short_description = FALSE, view = T)"
"db_icustays"	"function"	"raw_extract"	"db_icustays"	"icustays"	"db_icustays( all = FALSE, subject_id = T, hadm_id = T, stay_id = T, first_careunit, last_careunit, intime, outtime, los )"	"icustays"	"db_icustays(all = FALSE, subject_id = T, hadm_id = T, stay_id = T, first_careunit = FALSE, last_careunit = FALSE, intime = FALSE, outtime = FALSE, los = FALSE)"
"db_ingredient.events_D.icu.t"	"function"	"raw_extract"	"db_ingredient.events_D.icu.t"	"ingredientevents"	"db_ingredient.events_D.icu.t( ..., all = FALSE, subject_id, hadm_id, stay_id = T, starttime, endtime, storetime, itemid, amount, amountuom, rate, rateuom, orderid, linkorderid, statusdescription, originalamount, originalrate, view = T )"	"ingredientevents"	"db_ingredient.events_D.icu.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, storetime = FALSE, itemid = FALSE, amount = FALSE, amountuom = FALSE, rate = FALSE, rateuom = FALSE, orderid = FALSE, linkorderid = FALSE, statusdescription = FALSE, originalamount = FALSE, originalrate = FALSE, view = T)"
"db_input.events_D.icu.t"	"function"	"raw_extract"	"db_input.events_D.icu.t"	"inputevents"	"db_input.events_D.icu.t( ..., all = FALSE, subject_id, hadm_id, stay_id = T, starttime, endtime, storetime, itemid, label, CN, amount, amountuom, rate, rateuom, orderid, linkorderid, ordercategoryname, secondaryordercategoryname, ordercomponenttypedescription, ordercategorydescription, patientweight, totalamount, totalamountuom, isopenbag, continueinnextdept, statusdescription, originalamount, originalrate, view = T )"	"inputevents"	"db_input.events_D.icu.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, storetime = FALSE, itemid = FALSE, label = FALSE, CN = FALSE, amount = FALSE, amountuom = FALSE, rate = FALSE, rateuom = FALSE, orderid = FALSE, linkorderid = FALSE, ordercategoryname = FALSE, secondaryordercategoryname = FALSE, ordercomponenttypedescription = FALSE, ordercategorydescription = FALSE, patientweight = FALSE, totalamount = FALSE, totalamountuom = FALSE, isopenbag = FALSE, continueinnextdept = FALSE, statusdescription = FALSE, originalamount = FALSE, originalrate = FALSE, view = T)"
"db_lab_D.subj.t"	"function"	"raw_extract"	"db_lab_D.subj.t"	"labevents"	"db_lab_D.subj.t( ..., all = FALSE, subject_id, hadm_id, specimen_id, itemid, charttime, storetime, value, valuenum, valueuom, ref_range_lower, ref_range_upper, flag, priority, comments, view = T )"	"labevents"	"db_lab_D.subj.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, specimen_id = FALSE, itemid = FALSE, charttime = FALSE, storetime = FALSE, value = FALSE, valuenum = FALSE, valueuom = FALSE, ref_range_lower = FALSE, ref_range_upper = FALSE, flag = FALSE, priority = FALSE, comments = FALSE, view = T)"
"db_micro.Bacteria_subj.t"	"function"	"raw_extract"	"db_micro.Bacteria_subj.t"	"感染：细菌"	"db_micro.Bacteria_subj.t( all = FALSE, subject_id, hadm_id, micro_specimen_id, chartdate, charttime, spec_type_desc, test_seq, storedate, storetime, test_name, org_name, org_itemid, isolate_num, quantity, ab_name, dilution_text, dilution_comparison, dilution_value, interpretation, comments, dayn = NULL, YesNo = F, view = T )"	"感染：细菌"	"db_micro.Bacteria_subj.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, micro_specimen_id = NULL, chartdate = FALSE, charttime = FALSE, spec_type_desc = FALSE, test_seq = FALSE, storedate = FALSE, storetime = FALSE, test_name = FALSE, org_name = FALSE, org_itemid = FALSE, isolate_num = FALSE, quantity = FALSE, ab_name = FALSE, dilution_text = FALSE, dilution_comparison = FALSE, dilution_value = FALSE, interpretation = FALSE, comments = FALSE, dayn = NULL, YesNo = F, view = T)"
"db_micro.Bloodcult.Positive_subj.t"	"function"	"raw_extract"	"db_micro.Bloodcult.Positive_subj.t"	"感染：血培养的阳性结果"	"db_micro.Bloodcult.Positive_subj.t( all = FALSE, subject_id, micro_specimen_id, chartdate, charttime, spec_type_desc, test_seq, storedate, storetime, test_name, org_name, org_itemid, isolate_num, quantity, ab_name, dilution_text, dilution_comparison, dilution_value, interpretation, comments, dayn = NULL, YesNo = F )"	"感染：血培养的阳性结果"	"db_micro.Bloodcult.Positive_subj.t(all = FALSE, subject_id = FALSE, micro_specimen_id = NULL, chartdate = FALSE, charttime = FALSE, spec_type_desc = FALSE, test_seq = FALSE, storedate = FALSE, storetime = FALSE, test_name = FALSE, org_name = FALSE, org_itemid = FALSE, isolate_num = FALSE, quantity = FALSE, ab_name = FALSE, dilution_text = FALSE, dilution_comparison = FALSE, dilution_value = FALSE, interpretation = FALSE, comments = FALSE, dayn = NULL, YesNo = F)"
